name_of_gas,temperature scope,a7,a6,a5,a4,a3,a2,a1
CF3CN,298.15-1000,-2.02E-12,8.85E-09,-1.59E-05,0.014246277,10.91249391,-1843.977449,144810.9353
CF3CN,1000-6000,4.25E-16,-1.02E-11,1.01E-07,-0.000524165,17.53652619,-2470.321816,-224350.8037
C2F4,298.15-1000,-3.99E-12,1.81E-08,-3.34E-05,0.031094413,2.462547014,281.2173965,-42879.4361
C2F4,1000-6000,3.90E-16,-9.19E-12,8.86E-08,-0.000449716,17.27840931,-1977.164449,-412107.8959
C2F6,298.15-1000,1.16E-11,-4.16E-08,6.19E-05,-0.051599019,50.03151828,-11302.94418,1028654.741
C2F6,1000-6000,7.98E-16,-1.28E-11,7.23E-08,-0.0001842,21.75438018,-287.6183371,-1325664.095
C2H1,298.15-1000,1.44E-12,-5.97E-09,9.30E-06,-0.005769655,8.023419228,-940.7039946,56461.2772
C2H1,1000-6000,-2.08E-15,7.05E-11,-8.66E-07,0.00475129,-3.208803401,9589.691703,-4242880.882
C2HCl,298.15-1000,2.30E-12,-1.00E-08,1.71E-05,-0.01346794,15.10557709,-2176.476111,130965.9599
C2HCl,1000-6000,4.09E-16,-1.07E-11,1.17E-07,-0.000686594,12.82627095,-4472.483256,1156020.407
C2HF,298.15-1000,1.77E-12,-7.89E-09,1.36E-05,-0.010454795,13.71123294,-2026.486748,131994.4981
C2HF,1000-6000,4.94E-16,-1.26E-11,1.35E-07,-0.000774063,13.0761087,-4882.031575,1260889.857
C2H2,298.15-1000,8.60E-12,-3.59E-08,6.01E-05,-0.049594183,30.73360062,-6238.919513,517770.9839
C2H2,1000-6000,2.86E-17,-3.12E-12,6.57E-08,-0.000427341,13.1878008,-6413.167914,1795082.503
C2H4,298.15-1000,-3.80E-12,1.44E-08,-2.35E-05,0.023431651,1.851127085,-1305.200527,216354.6842
C2H4,1000-6000,1.46E-15,-3.71E-11,3.92E-07,-0.002216847,23.22619313,-13316.61502,3242499.526
C2H4O,298.15-1000,-6.69E-12,2.63E-08,-4.31E-05,0.039059922,-0.354295296,-1693.900233,296850.4854
C2H4O,1000-6000,1.57E-15,-3.97E-11,4.14E-07,-0.002322793,26.49115412,-13648.75691,2927751.844
(KCN)2,298.15-1000,2.97E-12,-1.04E-08,1.25E-05,-0.003836854,13.38822993,442.8988129,-117624.3131
(KCN)2,1000-6000,4.54E-16,-1.11E-11,1.11E-07,-0.000585306,17.74430179,-2859.599672,475475.2918
C2N,298.15-1000,-1.89E-12,7.70E-09,-1.24E-05,0.009562096,4.555598638,-465.3721402,50568.86903
C2N,1000-6000,-2.14E-16,5.65E-12,-4.47E-08,0.000156262,7.249661408,134.005542,-381520.5799
(CN)2,298.15-1000,3.62E-12,-1.38E-08,1.95E-05,-0.011657015,12.74424199,-1332.187033,55640.18249
(CN)2,1000-6000,5.35E-16,-1.29E-11,1.28E-07,-0.00067217,12.49399461,-3265.786866,502459.6742
(NaCN)2,298.15-1000,3.00E-12,-1.07E-08,1.32E-05,-0.004762852,13.94142175,267.91312,-122973.1883
(NaCN)2,1000-6000,4.70E-16,-1.14E-11,1.13E-07,-0.000597959,17.78036486,-2921.44983,469699.9666
C2O,298.15-1000,-8.19E-13,3.88E-09,-7.76E-06,0.008679468,2.63883068,286.2922986,-36844.20704
C2O,1000-6000,-4.17E-16,4.16E-12,3.61E-08,-0.000699637,11.09440457,-5367.834468,1816222.271
SiC2,298.15-1000,-7.20E-13,3.88E-09,-8.46E-06,0.009277661,2.670224487,351.8978146,-42337.30553
SiC2,1000-6000,2.41E-14,-4.96E-10,3.72E-06,-0.01232974,27.73059233,-16284.28564,4581898.29
C3,298.15-1000,-1.39E-12,7.22E-09,-1.57E-05,0.018370429,-5.04963649,2101.712311,-153084.4968
C3,1000-6000,1.64E-16,-2.68E-12,9.91E-09,7.82E-05,6.767400287,-1753.415532,289330.0232
C3O2,298.15-1000,2.79E-12,-9.66E-09,1.12E-05,-0.003324366,11.88068079,-1235.428157,48496.05135
C3O2,1000-6000,6.30E-16,-1.52E-11,1.51E-07,-0.000792789,15.843632,-3810.587039,362943.0489
C4,298.15-1000,9.00E-13,-2.31E-09,4.85E-07,0.003425943,7.579383417,-862.2605807,29930.92973
C4,1000-6000,3.68E-16,-8.97E-12,8.96E-08,-0.000471803,11.89582962,-2259.315786,4359.849258
C4N2,298.15-1000,4.35E-12,-1.59E-08,2.09E-05,-0.009951412,16.53341321,-1519.459578,34792.2551
C4N2,1000-6000,8.07E-16,-1.95E-11,1.93E-07,-0.001014037,19.50410483,-4905.147891,636208.6486
Ni(CO)4,298.15-1000,4.88E-12,-1.65E-08,1.82E-05,-0.0031941,19.23540622,335.5476041,-237311.8404
Ni(CO)4,1000-6000,8.32E-16,-2.04E-11,2.07E-07,-0.0010567,28.25411284,-5331.071983,627829.2653
C5,298.15-1000,1.74E-12,-5.39E-09,4.69E-06,0.000935463,11.33196318,-1544.001039,56261.06902
C5,1000-6000,5.02E-16,-1.22E-11,1.22E-07,-0.000639022,15.39000701,-3062.186371,15428.97362
Fe(CO)5,298.15-1000,5.05E-12,-1.72E-08,1.92E-05,-0.003793846,26.0775103,-1175.970676,-156240.9812
Fe(CO)5,1000-6000,1.09E-15,-2.63E-11,2.62E-07,-0.001320672,35.00964324,-6495.387138,491304.8737
Ca,298.15-1000,-7.54E-25,3.02E-21,-4.97E-18,4.29E-15,2.499966925,4.97E-10,-4.90E-08
Ca,1000-6000,3.42E-14,-8.80E-10,8.25E-06,-0.034466046,73.77068185,-71116.72139,27121987.21
CaCl,298.15-1000,2.10E-13,-9.02E-10,1.58E-06,-0.001407787,5.265002918,-220.8159216,5896.326607
CaCl,1000-6000,1.67E-15,-5.58E-11,6.34E-07,-0.002764603,10.39904099,-5833.116481,2165735.229
CaCl2,298.15-1000,3.27E-13,-1.34E-09,2.28E-06,-0.002068945,8.571697873,-310.1857793,4513.882991
CaCl2,1000-6000,-1.22E-17,2.42E-13,-1.91E-09,7.51E-06,7.484626476,14.71308754,-42274.74732
CaF,298.15-1000,1.90E-13,-9.13E-10,1.86E-06,-0.002032744,5.860278147,-508.8842293,31840.75913
CaF,1000-6000,9.92E-16,-3.92E-11,4.88E-07,-0.002226014,9.405282226,-4969.766852,1844109.153
CaF2,298.15-1000,6.93E-13,-2.97E-09,5.34E-06,-0.005194126,9.941494494,-952.8376896,50448.05499
CaF2,1000-6000,-2.25E-17,4.37E-13,-3.31E-09,1.24E-05,6.976987139,18.12051169,-100205.0106
CaOH,298.15-1000,3.22E-13,-2.62E-09,6.91E-06,-0.007797505,11.08096255,-1462.526337,86164.39483
CaOH,1000-6000,2.86E-15,-8.26E-11,8.50E-07,-0.003780113,16.0229422,-10309.27551,3833043.926
CaOH+,298.15-1000,5.01E-13,-3.28E-09,7.88E-06,-0.008513124,11.35060267,-1505.448405,89591.3071
CaOH+,1000-6000,8.26E-17,-2.94E-12,4.21E-08,-0.000316055,8.845876188,-3202.08036,1154784.65
Ca(OH)2,298.15-1000,7.87E-13,-5.69E-09,1.43E-05,-0.015670826,19.95051029,-2759.546696,149892.0336
Ca(OH)2,1000-6000,1.08E-16,-4.72E-12,7.48E-08,-0.00059405,15.61028914,-6316.730069,2286571.181
CaI,298.15-1000,-1.96E-13,7.10E-10,-1.02E-06,0.000773659,4.224178752,47.32329705,-11790.63479
CaI,1000-6000,3.34E-15,-9.65E-11,9.82E-07,-0.004117265,12.96265722,-8250.7001,3062635.767
CaI2,298.15-1000,7.19E-14,-3.15E-10,5.78E-07,-0.00056874,7.820339278,-100.4841924,-5738.332221
CaI2,1000-6000,-1.44E-17,2.83E-13,-2.18E-09,8.35E-06,7.483339256,15.82861409,-25833.33444
HgH,298.15-1000,-1.63E-12,7.05E-09,-1.24E-05,0.011251936,-0.345387072,536.6236517,-24141.43331
HgH,1000-6000,-2.85E-10,6.07E-06,-0.050851867,212.0387804,-458984.564,485597946.3,-1.95712E+11
HI,298.15-1000,1.82E-12,-6.65E-09,8.68E-06,-0.003927332,3.988893931,87.26401998,-19000.14805
